Lat,Long,Name,Tenths,BendName,BendNumber
38.86434,-90.34201,16.9,9,,
38.86292,-90.34171,17,0,,
38.86145,-90.34128,17.1,1,,
38.86001,-90.34105,17.2,2,,
38.85857,-90.3409,17.3,3,,
38.85714,-90.34084,17.4,4,,
38.8557,-90.34089,17.5,5,,
38.85429,-90.34107,17.6,6,,
38.85286,-90.34136,17.7,7,,
38.85144,-90.34172,17.8,8,,
38.85004,-90.34221,17.9,9,,
38.84866,-90.34278,18,0,,
38.8473,-90.34343,18.1,1,,
38.84597,-90.34417,18.2,2,,
38.84464,-90.345,18.3,3,,
38.84337,-90.3459,18.4,4,,
38.84213,-90.34681,18.5,5,,
38.84089,-90.34779,18.6,6,,
38.83965,-90.34877,18.7,7,,
38.83843,-90.34977,18.8,8,,
38.83721,-90.35081,18.9,9,,
38.83599,-90.35187,19,0,,
38.83478,-90.3529,19.1,1,,
38.83359,-90.35395,19.2,2,,
38.83243,-90.35502,19.3,3,,
38.83125,-90.35612,19.4,4,,
38.8301,-90.35725,19.5,5,,
38.82897,-90.35841,19.6,6,,
38.82787,-90.35961,19.7,7,,
38.8268,-90.36087,19.8,8,,
38.8258,-90.36222,19.9,9,,
38.82486,-90.36361,20,0,,
38.82404,-90.36518,20.1,1,,
38.82334,-90.36677,20.2,2,,
38.82271,-90.36836,20.3,3,,
38.82212,-90.37012,20.4,4,,
38.82165,-90.37188,20.5,5,,
38.82127,-90.37367,20.6,6,,
38.821,-90.37549,20.7,7,,
38.8208,-90.3773,20.8,8,,
38.82067,-90.37918,20.9,9,,
38.82061,-90.38102,21,0,,
38.82063,-90.38284,21.1,1,,
38.82071,-90.38472,21.2,2,,
38.82087,-90.38653,21.3,3,,
38.82111,-90.3884,21.4,4,,
38.82147,-90.39017,21.5,5,,
38.82193,-90.39191,21.6,6,,
38.82253,-90.3936,21.7,7,,
38.82326,-90.39525,21.8,8,,
38.82404,-90.3968,21.9,9,,
38.8248,-90.39833,22,0,,
38.82554,-90.39992,22.1,1,,
38.82621,-90.40149,22.2,2,,
38.82684,-90.40316,22.3,3,,
38.82743,-90.40479,22.4,4,,
38.82803,-90.40652,22.5,5,,
38.82861,-90.40823,22.6,6,,
38.82911,-90.40996,22.7,7,,
38.82958,-90.41194,22.8,8,,
38.82991,-90.41374,22.9,9,,
38.8302,-90.41556,23,0,,
38.83044,-90.41735,23.1,1,,
38.83066,-90.41918,23.2,2,,
38.83086,-90.42105,23.3,3,,
38.83103,-90.42286,23.4,4,,
38.83119,-90.42467,23.5,5,,
38.83132,-90.42651,23.6,6,,
38.8314,-90.42836,23.7,7,,
38.83142,-90.43015,23.8,8,,
38.83136,-90.432,23.9,9,,
38.83117,-90.43398,24,0,,
38.83087,-90.43579,24.1,1,,
38.83043,-90.43756,24.2,2,,
38.82988,-90.43927,24.3,3,,
38.82924,-90.44088,24.4,4,,
38.8285,-90.44247,24.5,5,,
38.82765,-90.44399,24.6,6,,
38.82674,-90.44535,24.7,7,,
38.82571,-90.44665,24.8,8,,
38.82452,-90.44783,24.9,9,,
38.82323,-90.44884,25,0,,
38.8219,-90.44957,25.1,1,,
38.82053,-90.45015,25.2,2,,
38.81903,-90.45064,25.3,3,,
38.81763,-90.4511,25.4,4,,
38.81623,-90.45155,25.5,5,,
38.81485,-90.45206,25.6,6,,
38.81348,-90.45262,25.7,7,,
38.81213,-90.45325,25.8,8,,
38.81083,-90.45394,25.9,9,,
38.80955,-90.45482,26,0,,
38.80836,-90.4558,26.1,1,,
38.80719,-90.45693,26.2,2,,
38.80613,-90.45819,26.3,3,,
38.80516,-90.45956,26.4,4,,
38.80422,-90.46102,26.5,5,,
38.80329,-90.46242,26.6,6,,
38.80229,-90.46377,26.7,7,,
38.80124,-90.46508,26.8,8,,
38.80014,-90.46629,26.9,9,,
38.79899,-90.46745,27,0,,
38.79784,-90.46857,27.1,1,,
38.79665,-90.46963,27.2,2,,
38.79544,-90.47065,27.3,3,,
38.79421,-90.47164,27.4,4,,
38.79296,-90.47256,27.5,5,,
38.79194,-90.47324,27.6,6,,
38.7905,-90.47415,27.7,7,,
38.78902,-90.47495,27.8,8,,
38.78776,-90.47548,27.9,9,,
38.78619,-90.47594,28,0,,
38.78475,-90.47626,28.1,1,,
38.7833,-90.47651,28.2,2,,
38.78187,-90.47671,28.3,3,,
38.78042,-90.47685,28.4,4,,
38.77889,-90.47705,28.5,5,,
38.77743,-90.47725,28.6,6,,
38.77603,-90.47744,28.7,7,,
38.7746,-90.47768,28.8,8,,
38.77318,-90.47794,28.9,9,,
38.77175,-90.47821,29,0,,
38.7703,-90.47858,29.1,1,,
38.76888,-90.47899,29.2,2,,
38.76749,-90.47945,29.3,3,,
38.76608,-90.47999,29.4,4,,
38.76469,-90.48058,29.5,5,,
38.76332,-90.48118,29.6,6,,
38.76198,-90.4819,29.7,7,,
38.76067,-90.48269,29.8,8,,
38.75941,-90.48353,29.9,9,,
38.75811,-90.48446,30,0,,
38.7568,-90.48548,30.1,1,,
38.75554,-90.48656,30.2,2,,
38.75438,-90.48764,30.3,3,,
38.75323,-90.48877,30.4,4,,
38.7521,-90.48994,30.5,5,,
38.75103,-90.49119,30.6,6,,
38.74997,-90.49252,30.7,7,,
38.74896,-90.49388,30.8,8,,
38.74803,-90.49524,30.9,9,,
38.74712,-90.49668,31,0,,
38.74628,-90.49815,31.1,1,,
38.74549,-90.49974,31.2,2,,
38.74475,-90.50133,31.3,3,,
38.74418,-90.50281,31.4,4,,
38.7437,-90.50455,31.5,5,,
38.74322,-90.50625,31.6,6,,
38.74271,-90.50803,31.7,7,,
38.7422,-90.50972,31.8,8,,
38.74167,-90.51144,31.9,9,,
38.74111,-90.51315,32,0,,
38.74056,-90.51484,32.1,1,,
38.73998,-90.51655,32.2,2,,
38.73938,-90.51823,32.3,3,,
38.73874,-90.5199,32.4,4,,
38.73801,-90.52148,32.5,5,,
38.73727,-90.52308,32.6,6,,
38.73652,-90.5246,32.7,7,,
38.73572,-90.52608,32.8,8,,
38.73487,-90.5276,32.9,9,,
38.73394,-90.5292,33,0,,
38.73308,-90.53062,33.1,1,,
38.73214,-90.53209,33.2,2,,
38.73109,-90.53338,33.3,3,,
38.72989,-90.53454,33.4,4,,
38.72865,-90.53536,33.5,5,,
38.7273,-90.53581,33.6,6,,
38.72586,-90.53591,33.7,7,,
38.72441,-90.53558,33.8,8,,
38.72305,-90.53498,33.9,9,,
38.72168,-90.53422,34,0,,
38.72036,-90.53352,34.1,1,,
38.719,-90.53289,34.2,2,,
38.71761,-90.53237,34.3,3,,
38.71617,-90.53189,34.4,4,,
38.7147,-90.53142,34.5,5,,
38.71329,-90.531,34.6,6,,
38.71187,-90.53062,34.7,7,,
38.7105,-90.53027,34.8,8,,
38.70907,-90.52996,34.9,9,,
38.70763,-90.5297,35,0,,
38.7062,-90.52949,35.1,1,,
38.70472,-90.5294,35.2,2,,
38.70329,-90.5294,35.3,3,,
38.70184,-90.52952,35.4,4,,
38.7004,-90.52974,35.5,5,,
38.69897,-90.53006,35.6,6,,
38.69756,-90.53046,35.7,7,,
38.69618,-90.53098,35.8,8,,
38.69481,-90.5316,35.9,9,,
38.69345,-90.53229,36,0,,
38.69219,-90.53308,36.1,1,,
38.69088,-90.534,36.2,2,,
38.68966,-90.53499,36.3,3,,
38.68851,-90.53607,36.4,4,,
38.68738,-90.53722,36.5,5,,
38.68625,-90.53848,36.6,6,,
38.68526,-90.5398,36.7,7,,
38.68433,-90.54122,36.8,8,,
38.68347,-90.5427,36.9,9,,
38.68269,-90.54426,37,0,,
38.68202,-90.54592,37.1,1,,
38.68149,-90.54765,37.2,2,,
38.68117,-90.54939,37.3,3,,
38.68114,-90.55121,37.4,4,,
38.68135,-90.55311,37.5,5,,
38.6817,-90.55486,37.6,6,,
38.68203,-90.55666,37.7,7,,
38.68232,-90.55851,37.8,8,,
38.68258,-90.5603,37.9,9,,
38.68282,-90.56204,38,0,,
38.68305,-90.56383,38.1,1,,
38.68327,-90.5657,38.2,2,,
38.68338,-90.56754,38.3,3,,
38.6834,-90.56932,38.4,4,,
38.68328,-90.57123,38.5,5,,
38.68298,-90.57313,38.6,6,,
38.68257,-90.57481,38.7,7,,
38.68209,-90.5764,38.8,8,,
38.68151,-90.57812,38.9,9,,
38.68103,-90.57984,39,0,,
38.68062,-90.58174,39.1,1,,
38.68017,-90.5836,39.2,2,,
38.67977,-90.58546,39.3,3,,
38.67942,-90.58729,39.4,4,,
38.67917,-90.5891,39.5,5,,
38.6791,-90.59094,39.6,6,,
38.67908,-90.59275,39.7,7,,
38.67912,-90.59461,39.8,8,,
38.67925,-90.59647,39.9,9,,
38.67945,-90.59826,40,0,,
38.67979,-90.60006,40.1,1,,
38.68019,-90.60183,40.2,2,,
38.68069,-90.60357,40.3,3,,
38.68139,-90.60525,40.4,4,,
38.68226,-90.60672,40.5,5,,
38.68324,-90.60807,40.6,6,,
38.68428,-90.60936,40.7,7,,
38.68532,-90.61052,40.8,8,,
38.6865,-90.61164,40.9,9,,
38.68762,-90.6128,41,0,,
38.68882,-90.61409,41.1,1,,
38.68982,-90.61539,41.2,2,,
38.69073,-90.61683,41.3,3,,
38.69149,-90.61823,41.4,4,,
38.69212,-90.61993,41.5,5,,
38.69268,-90.62162,41.6,6,,
38.69318,-90.62335,41.7,7,,
38.69358,-90.62508,41.8,8,,
38.69391,-90.62688,41.9,9,,
38.69418,-90.62878,42,0,,
38.69435,-90.63061,42.1,1,,
38.69446,-90.63225,42.2,2,,
38.69447,-90.63418,42.3,3,,
38.6944,-90.63605,42.4,4,,
38.69424,-90.6379,42.5,5,,
38.694,-90.63973,42.6,6,,
38.69367,-90.64153,42.7,7,,
38.69334,-90.64333,42.8,8,,
38.69299,-90.64512,42.9,9,,
38.69262,-90.64688,43,0,,
38.69222,-90.64866,43.1,1,,
38.69179,-90.65043,43.2,2,,
38.69142,-90.65222,43.3,3,,
38.69094,-90.65396,43.4,4,,
38.69034,-90.65564,43.5,5,,
38.68961,-90.65726,43.6,6,,
38.68881,-90.65874,43.7,7,,
38.68796,-90.66028,43.8,8,,
38.68709,-90.6618,43.9,9,,
38.68624,-90.66327,44,0,,
38.68538,-90.66481,44.1,1,,
38.68458,-90.66641,44.2,2,,
38.68382,-90.66798,44.3,3,,
38.6831,-90.66954,44.4,4,,
38.68235,-90.67113,44.5,5,,
38.68166,-90.67272,44.6,6,,
38.68098,-90.67436,44.7,7,,
38.68036,-90.67604,44.8,8,,
38.67994,-90.67781,44.9,9,,
38.67971,-90.67963,45,0,,
38.6797,-90.68148,45.1,1,,
38.67979,-90.68334,45.2,2,,
38.6799,-90.68519,45.3,3,,
38.67996,-90.68703,45.4,4,,
38.68002,-90.68886,45.5,5,,
